death_year,total_deaths,tb_deaths,tb_pct_of_deaths,number_of_inmates,chelt_tb_rate
1877,1,0,0,208,0
1880,1,0,0,NA,NA
1885,2,0,0,248,0
1887,3,1,33.3,253,395.3
1888,2,0,0,NA,NA
1892,1,0,0,NA,NA
1893,2,1,50,272,367.6
1895,1,0,0,285,0
1898,5,1,20,255,392.2
1899,6,5,83.3,263,1901.1
1900,5,1,20,261,383.1
1901,15,9,60,239,3765.7
1903,1,0,0,182,0
1904,2,1,50,240,416.7
1905,2,1,50,270,370.4
1906,2,2,100,241,829.9
1907,3,3,100,270,1111.1
1908,3,2,66.7,306,653.6
1909,4,1,25,289,346
1910,2,1,50,317,315.5
1911,2,1,50,287,348.4
1912,1,0,0,313,0
1913,2,1,50,325,307.7
1914,6,5,83.3,330,1515.2
1915,4,4,100,346,1156.1
1916,3,3,100,343,874.6
1917,9,8,88.9,355,2253.5
1918,9,8,88.9,350,2285.7
1921,2,0,0,302,0
1923,1,1,100,296,337.8
1926,3,2,66.7,275,727.3
1927,2,2,100,290,689.7
1928,3,1,33.3,270,370.4
1929,4,3,75,297,1010.1
1930,1,0,0,304,0
1931,2,1,50,323,309.6
1932,7,6,85.7,385,1558.4
1933,7,4,57.1,413,968.5
1934,2,2,100,437,457.7
1935,6,4,66.7,401,997.5
1936,1,1,100,426,234.7
1939,2,0,0,NA,NA
